utility_bill_payment,service_deposit_required,debt_collection_history,savings_account,employment_tenure,additional_income,housing_status,eviction_history,community_savings_group,mobile_money_account,credit_score
Occasionally late,No,No,"Yes, but limited",1 to 3 years,"Yes, regularly",Own,No,"Yes, inactive member","Yes, rarely used",740
Always on time,No,"Yes, once","Yes, sufficient",6 months to 1 year,"Yes, regularly",Rent,No,No,"Yes, actively used",716
Always on time,No,No,"Yes, sufficient",Less than 6 months,No,Own,No,No,"Yes, actively used",741
Never paid,No,"Yes, once","Yes, sufficient",Less than 6 months,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",598
Occasionally late,"Yes, not refunded","Yes, once",No,6 months to 1 year,No,Own,"Yes, once","Yes, inactive member","Yes, actively used",497
Occasionally late,"Yes, but refunded",No,"Yes, but limited",Over 3 years,No,Own,No,No,"Yes, actively used",687
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Rent,No,"Yes, active member","Yes, rarely used",748
Always on time,"Yes, but refunded","Yes, more than once",No,1 to 3 years,No,Own,"Yes, once",No,"Yes, actively used",578
Always on time,No,No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Own,"Yes, once",No,"Yes, rarely used",745
Always on time,No,"Yes, once",No,6 months to 1 year,No,Rent,No,No,"Yes, actively used",628
Occasionally late,No,No,"Yes, but limited",6 months to 1 year,No,Rent,"Yes, once",No,"Yes, rarely used",665
Always on time,No,"Yes, more than once","Yes, but limited",Over 3 years,No,Rent,No,No,"Yes, rarely used",657
Occasionally late,No,"Yes, once","Yes, but limited",1 to 3 years,"Yes, regularly",Own,No,No,"Yes, actively used",678
Always on time,No,"Yes, once",No,6 months to 1 year,"Yes, regularly",Own,No,No,No,660
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, active member","Yes, actively used",764
Always on time,No,No,No,1 to 3 years,No,Live with family/friends,No,No,"Yes, rarely used",708
Always on time,No,No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Own,No,No,"Yes, rarely used",820
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",794
Never paid,No,No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Own,"Yes, more than once",No,"Yes, actively used",566
Always on time,"Yes, but refunded","Yes, more than once","Yes, but limited",6 months to 1 year,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",662
Frequently late,No,No,No,1 to 3 years,No,Rent,No,"Yes, active member","Yes, rarely used",645
Always on time,No,No,No,6 months to 1 year,No,Own,No,No,"Yes, actively used",727
Never paid,No,"Yes, more than once","Yes, but limited",1 to 3 years,No,Own,No,No,"Yes, actively used",544
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Own,No,No,"Yes, actively used",781
Frequently late,No,"Yes, once",No,Over 3 years,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",621
Always on time,No,"Yes, once",No,6 months to 1 year,"Yes, occasionally",Own,No,"Yes, active member","Yes, rarely used",684
Occasionally late,No,"Yes, once","Yes, but limited",6 months to 1 year,"Yes, regularly",Rent,No,No,"Yes, actively used",633
Frequently late,"Yes, but refunded",No,"Yes, but limited",Less than 6 months,"Yes, regularly",Own,No,No,"Yes, rarely used",631
Always on time,No,"Yes, more than once",No,Over 3 years,No,Rent,No,"Yes, inactive member","Yes, rarely used",621
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,No,"Yes, inactive member","Yes, actively used",738
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",814
Frequently late,No,"Yes, once","Yes, sufficient",Less than 6 months,"Yes, regularly",Own,No,No,"Yes, actively used",620
Always on time,No,No,"Yes, but limited",Over 3 years,No,Rent,No,No,"Yes, actively used",746
Always on time,No,No,"Yes, but limited",Over 3 years,"Yes, regularly",Rent,No,No,"Yes, actively used",799
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,No,"Yes, active member","Yes, actively used",795
Always on time,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, active member","Yes, actively used",718
Occasionally late,No,No,No,1 to 3 years,No,Rent,No,"Yes, active member","Yes, actively used",685
Always on time,"Yes, but refunded","Yes, once","Yes, sufficient",Over 3 years,No,Own,"Yes, once","Yes, inactive member","Yes, rarely used",679
Occasionally late,No,No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",760
Frequently late,No,"Yes, once",No,Less than 6 months,No,Rent,No,"Yes, inactive member","Yes, rarely used",536
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, regularly",Own,No,No,"Yes, rarely used",788
Occasionally late,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, active member","Yes, actively used",702
Always on time,No,"Yes, once",No,1 to 3 years,"Yes, regularly",Live with family/friends,"Yes, once","Yes, inactive member",No,632
Occasionally late,"Yes, not refunded",No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Live with family/friends,"Yes, more than once",No,"Yes, actively used",520
Always on time,No,No,"Yes, sufficient",Over 3 years,No,Rent,No,No,"Yes, actively used",798
Occasionally late,"Yes, but refunded",No,"Yes, but limited",Over 3 years,No,Rent,No,"Yes, active member","Yes, actively used",711
Always on time,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Own,"Yes, more than once","Yes, active member","Yes, actively used",697
Always on time,No,No,No,6 months to 1 year,"Yes, regularly",Own,"Yes, once",No,"Yes, actively used",728
Always on time,No,No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Rent,"Yes, once",No,"Yes, actively used",744
Always on time,No,No,"Yes, but limited",Less than 6 months,No,Own,"Yes, once",No,"Yes, rarely used",691
Occasionally late,"Yes, but refunded",No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",728
Always on time,"Yes, but refunded","Yes, once",No,1 to 3 years,"Yes, regularly",Rent,No,No,"Yes, actively used",653
Occasionally late,No,No,No,6 months to 1 year,No,Rent,No,No,"Yes, actively used",637
Always on time,No,"Yes, once","Yes, but limited",1 to 3 years,"Yes, occasionally",Rent,No,"Yes, active member","Yes, actively used",736
Occasionally late,No,No,"Yes, but limited",Less than 6 months,"Yes, regularly",Own,No,No,No,702
Always on time,"Yes, but refunded","Yes, once",No,Over 3 years,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, actively used",712
Always on time,"Yes, not refunded",No,"Yes, sufficient",Less than 6 months,No,Rent,No,No,"Yes, actively used",668
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Rent,No,"Yes, active member","Yes, actively used",777
Occasionally late,No,No,No,Over 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",707
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Rent,No,No,"Yes, rarely used",764
Frequently late,No,"Yes, once","Yes, sufficient",Over 3 years,"Yes, occasionally",Own,No,No,"Yes, rarely used",666
Frequently late,"Yes, but refunded",No,"Yes, sufficient",Less than 6 months,No,Own,"Yes, once",No,"Yes, rarely used",603
Always on time,No,No,"Yes, but limited",Less than 6 months,"Yes, regularly",Own,No,No,"Yes, actively used",775
Occasionally late,No,"Yes, once","Yes, sufficient",Less than 6 months,"Yes, regularly",Own,No,No,"Yes, rarely used",625
Always on time,No,No,"Yes, but limited",Over 3 years,No,Rent,No,No,"Yes, actively used",768
Always on time,No,No,"Yes, but limited",Less than 6 months,No,Rent,No,No,"Yes, actively used",711
Occasionally late,No,No,No,1 to 3 years,"Yes, regularly",Rent,No,No,"Yes, actively used",675
Occasionally late,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,No,Rent,No,No,"Yes, rarely used",650
Occasionally late,No,No,"Yes, but limited",Over 3 years,"Yes, regularly",Rent,No,No,No,725
Always on time,No,"Yes, once","Yes, sufficient",6 months to 1 year,No,Rent,No,No,"Yes, actively used",684
Always on time,No,No,"Yes, sufficient",Less than 6 months,No,Rent,No,No,"Yes, actively used",729
Always on time,No,No,"Yes, sufficient",1 to 3 years,No,Own,"Yes, once",No,No,739
Occasionally late,No,"Yes, once","Yes, sufficient",1 to 3 years,No,Own,No,"Yes, inactive member","Yes, actively used",682
Always on time,No,"Yes, once","Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, rarely used",706
Occasionally late,No,No,"Yes, but limited",6 months to 1 year,No,Own,No,"Yes, inactive member","Yes, actively used",732
Always on time,No,No,"Yes, but limited",Over 3 years,"Yes, occasionally",Rent,"Yes, once","Yes, inactive member","Yes, actively used",739
Always on time,"Yes, but refunded",No,"Yes, sufficient",Less than 6 months,No,Rent,No,No,"Yes, actively used",697
Always on time,No,"Yes, once","Yes, sufficient",Less than 6 months,"Yes, regularly",Rent,No,"Yes, inactive member","Yes, actively used",700
Always on time,No,"Yes, once",No,Less than 6 months,No,Own,No,No,"Yes, actively used",647
Always on time,No,No,"Yes, but limited",Less than 6 months,"Yes, regularly",Rent,No,"Yes, active member","Yes, actively used",751
Occasionally late,"Yes, but refunded","Yes, more than once","Yes, sufficient",Over 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",641
Frequently late,No,No,No,1 to 3 years,No,Own,"Yes, more than once",No,"Yes, actively used",611
Always on time,No,"Yes, once","Yes, but limited",Less than 6 months,No,Rent,No,No,"Yes, rarely used",656
Always on time,No,"Yes, once","Yes, sufficient",1 to 3 years,No,Rent,No,No,"Yes, actively used",699
Always on time,No,"Yes, once","Yes, sufficient",1 to 3 years,"Yes, occasionally",Own,No,No,No,712
Frequently late,"Yes, but refunded","Yes, more than once","Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, active member","Yes, rarely used",541
Always on time,"Yes, not refunded",No,"Yes, but limited",Less than 6 months,No,Own,No,No,"Yes, rarely used",640
Frequently late,No,No,No,1 to 3 years,No,Live with family/friends,"Yes, more than once",No,"Yes, actively used",563
Always on time,"Yes, but refunded",No,"Yes, but limited",Over 3 years,"Yes, occasionally",Live with family/friends,No,No,"Yes, actively used",737
Always on time,No,"Yes, once","Yes, but limited",6 months to 1 year,No,Own,No,No,"Yes, rarely used",671
Frequently late,No,"Yes, once","Yes, but limited",6 months to 1 year,"Yes, regularly",Own,"Yes, once",No,"Yes, actively used",590
Always on time,"Yes, but refunded",No,"Yes, but limited",Over 3 years,No,Rent,No,"Yes, active member","Yes, rarely used",741
Always on time,No,No,"Yes, sufficient",6 months to 1 year,No,Rent,No,No,"Yes, actively used",750
Always on time,No,No,"Yes, but limited",Less than 6 months,"Yes, regularly",Rent,No,"Yes, inactive member","Yes, actively used",733
Always on time,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,No,Rent,No,No,"Yes, actively used",691
Always on time,No,No,No,1 to 3 years,"Yes, regularly",Own,No,No,"Yes, rarely used",781
Occasionally late,No,"Yes, once","Yes, but limited",Over 3 years,"Yes, regularly",Own,No,No,No,681
Occasionally late,No,No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Rent,No,No,"Yes, actively used",700
Always on time,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,No,Own,No,No,"Yes, actively used",726
Frequently late,"Yes, but refunded",No,No,6 months to 1 year,"Yes, occasionally",Rent,"Yes, once",No,"Yes, rarely used",559
Always on time,No,"Yes, once","Yes, but limited",6 months to 1 year,No,Rent,No,No,"Yes, actively used",652
Always on time,"Yes, but refunded",No,"Yes, but limited",Over 3 years,"Yes, regularly",Rent,No,No,"Yes, rarely used",731
Always on time,"Yes, but refunded",No,No,Over 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",738
Always on time,No,No,No,6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, rarely used",723
Always on time,"Yes, but refunded",No,"Yes, sufficient",6 months to 1 year,No,Own,No,No,"Yes, rarely used",727
Never paid,No,"Yes, more than once","Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, active member","Yes, actively used",504
Always on time,No,"Yes, once",No,1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, rarely used",681
Always on time,No,"Yes, once","Yes, but limited",1 to 3 years,No,Own,No,No,"Yes, actively used",700
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Own,No,No,"Yes, rarely used",772
Occasionally late,No,No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Rent,No,"Yes, inactive member","Yes, rarely used",754
Frequently late,No,No,"Yes, but limited",Over 3 years,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, rarely used",725
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",791
Always on time,No,"Yes, once","Yes, sufficient",Less than 6 months,No,Rent,No,No,"Yes, actively used",674
Always on time,No,No,"Yes, sufficient",1 to 3 years,No,Rent,No,No,"Yes, rarely used",784
Always on time,"Yes, but refunded",No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Own,"Yes, once",No,No,709
Always on time,"Yes, but refunded",No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, rarely used",757
Always on time,"Yes, but refunded","Yes, more than once","Yes, sufficient",6 months to 1 year,"Yes, regularly",Live with family/friends,No,No,"Yes, actively used",627
Always on time,No,"Yes, more than once",No,Less than 6 months,No,Rent,No,"Yes, active member","Yes, actively used",616
Always on time,"Yes, but refunded",No,"Yes, sufficient",6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, rarely used",731
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Rent,"Yes, once",No,"Yes, actively used",695
Frequently late,No,No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",715
Frequently late,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",697
Always on time,No,"Yes, once","Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",679
Always on time,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,No,Rent,"Yes, once","Yes, inactive member","Yes, actively used",687
Always on time,No,"Yes, more than once",No,Less than 6 months,No,Rent,No,"Yes, active member",No,569
Always on time,No,"Yes, once","Yes, sufficient",6 months to 1 year,No,Own,No,"Yes, inactive member","Yes, rarely used",703
Occasionally late,"Yes, but refunded","Yes, once","Yes, but limited",1 to 3 years,No,Own,No,No,"Yes, actively used",613
Always on time,No,No,No,6 months to 1 year,"Yes, occasionally",Live with family/friends,"Yes, more than once",No,"Yes, rarely used",641
Frequently late,"Yes, but refunded","Yes, once",No,Less than 6 months,No,Rent,No,"Yes, inactive member",No,496
Frequently late,"Yes, but refunded",No,No,6 months to 1 year,"Yes, occasionally",Rent,"Yes, once",No,"Yes, actively used",551
Always on time,No,No,"Yes, sufficient",1 to 3 years,"Yes, regularly",Rent,No,"Yes, active member","Yes, actively used",806
Always on time,No,No,No,1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, rarely used",745
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Own,No,No,No,779
Always on time,No,"Yes, more than once","Yes, sufficient",6 months to 1 year,No,Rent,No,"Yes, active member","Yes, actively used",686
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Rent,No,"Yes, active member","Yes, actively used",767
Always on time,No,No,No,Less than 6 months,"Yes, regularly",Own,No,No,"Yes, rarely used",723
Frequently late,"Yes, not refunded",No,"Yes, sufficient",Less than 6 months,No,Rent,No,"Yes, inactive member","Yes, actively used",575
Always on time,"Yes, but refunded","Yes, once","Yes, but limited",6 months to 1 year,"Yes, regularly",Live with family/friends,No,"Yes, inactive member","Yes, actively used",650
Always on time,"Yes, but refunded","Yes, more than once","Yes, sufficient",6 months to 1 year,"Yes, regularly",Own,No,"Yes, active member","Yes, actively used",689
Occasionally late,No,No,No,6 months to 1 year,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, rarely used",684
Occasionally late,No,No,"Yes, but limited",1 to 3 years,No,Rent,No,"Yes, active member","Yes, actively used",724
Always on time,No,No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Rent,No,"Yes, inactive member","Yes, actively used",796
Frequently late,No,No,"Yes, sufficient",1 to 3 years,No,Own,No,"Yes, active member","Yes, actively used",722
